FIFO: 21
0 777 1
1 1565 2
2 1565 1
3 777 0
4 777 6
5 1565 3
6 777 5
7 1565 4
8 777 2
9 777 4
10 1565 0
11 1565 5
12 1565 8
13 1565 10
14 777 7
15 1565 6
16 777 9
17 777 8
18 1565 11
19 1565 7
20 777 3
LRU: 21
0 777 1
1 1565 2
2 1565 1
3 777 0
4 777 6
5 1565 3
6 777 5
7 1565 4
8 777 2
9 777 4
10 1565 0
11 1565 5
12 1565 8
13 1565 10
14 777 7
15 1565 6
16 777 9
17 777 8
18 1565 11
19 1565 7
20 777 3
OPT: 21
0 777 1
1 1565 2
2 1565 1
3 777 0
4 777 6
5 1565 3
6 777 5
7 1565 4
8 777 2
9 777 4
10 1565 0
11 1565 5
12 1565 8
13 1565 10
14 777 7
15 1565 6
16 777 9
17 777 8
18 1565 11
19 1565 7
20 777 3
